episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,released_datetime,release_year,release_month,release_day_of_week,release_quarter,publish_year,publish_month,publish_hour,publish_day_of_week,publish_time_category,runtime_minutes,runtime_category,description_length,description_word_count,title_length,title_word_count,lead_cast_count,supporting_cast_count,total_cast_count,has_jethalal,has_tapu,has_daya,has_taarak,has_bhide,has_champaklal,like_to_view_ratio,comment_to_view_ratio,comment_to_like_ratio,engagement_score,view_category
11,Mobile Phones Could Be Called  Best Friends,"If technology is a boon or a bane, the answer is yet to be decided. Champaklal gets a new phone for his day to day communication but he gets very much involved with it. Meanwhile, Bhide mocks Jethalal while he is on the way to his shop. Will Champaklal land himself into some trouble because of the new mobile phone?",19 mins,11-Aug-08,"Jethalal, Champaklal, Bhide","Abdul, Bagha, Inspector, Nattu",Gokuldham Society,Sony SAB,2017-07-21 21:43:38+00:00,24772413,182666,3744,2008-08-11,2008,8,Monday,3,2017.0,7.0,21.0,Friday,Night,19,Standard,316,60,43,7,3,4,7,True,False,False,False,True,True,0.007373766642201281,0.00015113585619875398,0.02049631296293255,4.48471432780027,High
12,Mr Bhide Is Concerned By Sonu's Friendship,"Bhide is concerned because of Sonu's friendship with Tapu and decides to use the occasion of Rakshabandhan to put this matter to rest, once and for all. However, Bhide's plan has got Jethalal worried. Why is he worried? Find out in this episode.",18 mins,12-Aug-08,"Bhide, Sonu",Sonu,Gokuldham Society,Sony SAB,2020-05-22 18:47:59+00:00,15292933,150265,3354,2008-08-12,2008,8,Tuesday,3,2020.0,5.0,18.0,Friday,Evening,18,Standard,245,43,42,7,2,1,3,False,False,False,False,True,False,0.00982577967053281,0.00021931697344669112,0.022320418457934595,5.983194591698362,Above_Avg
13,Gokuldham Society Celebrates Rakshabandhan,"Gokuldham Society is all set to welcome the festival of Rakshabandhan with a bang. While Daya is busy with preparations, Jethalal is dreading being tied a rakhi by Babita. The event is exclusively being covered by Rita Reporter from Kal Tak. Watch this hilarious episode to know about Jethalal's pain.",18 mins,13-Aug-08,"Jethalal, Daya, Babita, Rita","Anjali, Komal, Madhavi, Rita, Roshan",Gokuldham Society,Sony SAB,2017-07-22 21:19:26+00:00,40730245,283671,6127,2008-08-13,2008,8,Wednesday,3,2017.0,7.0,21.0,Saturday,Night,18,Standard,301,50,42,4,4,5,9,True,False,True,False,False,False,0.006964627711799236,0.00015042875017253762,0.021598888857553795,4.238948127148556,High
14,Jethalal Gets Kidnapped From Work,"Jethalal gets kidnapped from his shop. When he doesn't return home for a long time, Nathu Kaka goes to Jethalal's house to tell Daya that Jethalal left his phone and tiffin at the shop. When Taarak goes to Daya to comfort her, they get a call from the kidnappers. What will they do now? How will they save Jethalal?",19 mins,14-Aug-08,Jethalal,"Abdul, Bagha, Nattu",Gokuldham Society,Sony SAB,2017-07-22 21:24:00+00:00,13023835,97957,1894,2008-08-14,2008,8,Thursday,3,2017.0,7.0,21.0,Saturday,Night,19,Standard,315,59,33,5,1,3,4,True,False,False,False,False,False,0.007521363137557936,0.00014542566414380524,0.019334816962371628,4.570988148192283,Above_Avg
15,Champaklal Informs His Son's Abducters,"Jethalal has been abducted by a bunch of thugs who seek ransom in lieu of releasing him. However, Champaklal informs his son's abductors that he does not have money to pay as ransom. What awaits Jethalal's fate now? Will they kill him if the ransom is not paid?",19 mins,15-Aug-08,Champaklal,,Gokuldham Society,Sony SAB,2017-07-24 00:17:48+00:00,37506692,290574,4951,2008-08-15,2008,8,Friday,3,2017.0,7.0,0.0,Monday,Night,19,Standard,261,48,38,5,1,0,1,False,False,False,False,False,True,0.007747257269522536,0.00013200310675217354,0.017038630301987438,4.701155604414391,High
16,The Men Want To Celebrate The Festival Of Janamashtmi,The members of Gokuldham especially the men want to celebrate the festival of Janamashtmi. What is the plan that Jethalal has up his sleeve? Who is he scared of? How do the other male folk plan to implement Jetha's plan? Will everything go according to the plan?,19 mins,18-Aug-08,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-24 00:17:52+00:00,27936507,219531,4831,2008-08-18,2008,8,Monday,3,2017.0,7.0,0.0,Monday,Night,19,Standard,262,47,53,9,1,4,5,True,False,False,False,False,False,0.007858211913958609,0.0001729278405160731,0.022005903467376055,4.784098284581595,High
17,Champaklal And Tapu Successfully Foil Jethalal And His Friends,"Champaklal and Tapu successfully foil Jethalal and his friend's plans to gamble with money. On the eve of Janmashthami, the men of Gokuldham Society challenge the women to break the sacred earthen pot. Will the women successfully complete this challenge? Find out in this episode of Taarak Mehta Ka Ooltah Chashma.",20 mins,19-Aug-08,"Jethalal, Tapu, Champaklal","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-24 13:46:53+00:00,44239579,307699,5362,2008-08-19,2008,8,Tuesday,3,2017.0,7.0,13.0,Monday,Afternoon,20,Standard,314,51,62,9,3,4,7,True,True,False,False,False,True,0.006955287550198261,0.00012120368231343969,0.01742606434839129,4.221654003044332,High
18,Tapu Lands In Trouble In School,"Tapu lands in trouble in school and the Principal summons Jethalal to his office to discuss his son's frivolous ways. Scared of notifying his father about the same, Tapu convinces Champaklal to meet the Principal as his father. However, Tapu's plan goes horribly wrong when Jethalal and Champaklal both turn up in the Principal's office. What will be Tapu's fate?",19 mins,20-Aug-08,Tapu,Inspector,Gokuldham Society,Sony SAB,2017-07-24 13:54:26+00:00,22354099,166798,3345,2008-08-20,2008,8,Wednesday,3,2017.0,7.0,13.0,Monday,Afternoon,19,Standard,363,60,31,6,1,1,2,False,True,False,False,False,False,0.007461628962919554,0.00014963697934607074,0.020054077062812127,4.53683216949016,High
19,Jethalal Approaches Chingur Baba For Help,"Fed-up of his father and son's shenanigans, Jethalal approaches Chingur Baba for help. The Baba provides him with a remedy and a hopeful Jethalal returns home to do as instructed. However, the next morning it is Jethalal who is a changed man and not his father and son. How did this happen?",19 mins,21-Aug-08,Jethalal,Chingur Baba,Gokuldham Society,Sony SAB,2020-05-25 14:31:00+00:00,18975034,180361,3267,2008-08-21,2008,8,Thursday,3,2020.0,5.0,14.0,Monday,Afternoon,19,Standard,290,52,41,6,1,1,2,True,False,False,False,False,False,0.009505173508243859,0.0001721735954637238,0.018113571594903583,5.771973543131804,Above_Avg
20,Humour is very good for the health,It is indeed said that humour is very good for health. But what if it becomes dangerous? Jethalal's behaviour becomes very humorous and all the society members are making fun of him. How do people take advantage of his situation? Will Tarak Mehta be able to solve it?,19 mins,22-Aug-08,"Jethalal, Mehta","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-25 14:29:37+00:00,40496567,285584,5380,2008-08-22,2008,8,Friday,3,2017.0,7.0,14.0,Tuesday,Afternoon,19,Standard,267,48,34,7,2,4,6,True,False,False,False,False,False,0.007052054386435907,0.00013285076404499264,0.018838524432305617,4.2843729374795405,High
21,Ganesh Utsav In The Society,"Females of the Gokuldham Society plan to keep a fast for their husbands but when Jethalal is thrown in an unlikely situation, he wants to return the favour by making all the men keep the fast instead. Will he succeed?",19 mins,25-Aug-08,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-26 14:38:04+00:00,17520211,145161,4005,2008-08-25,2008,8,Monday,3,2017.0,7.0,14.0,Wednesday,Afternoon,19,Standard,217,40,27,5,1,4,5,True,False,False,False,False,False,0.008285344949022307,0.0002285931243297741,0.027589865116214987,5.062644219145294,Above_Avg
22,Gokuldham is trying to celebrate Ganesh Utsav,Gokuldham is celebrating Ganesh Chaturthi and is trying to make the festival as pure as possible. What do Champak Chacha and the Tapu Sena have in mind? What is Jethalal and Taarak's plan? What will happen when their wives find out?,20 mins,26-Aug-08,"Jethalal, Mehta, Tapu","Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony SAB,2017-07-26 14:39:50+00:00,18069179,159965,3082,2008-08-26,2008,8,Tuesday,3,2017.0,7.0,14.0,Wednesday,Afternoon,20,Standard,232,41,45,7,3,8,11,True,True,False,False,False,False,0.008852919722975807,0.00017056667762455185,0.019266594151257144,5.3799785048353055,Above_Avg
23,The Kids Of The Society Are Very Excited,"The kids of the society are very excited at the occasion of Ganesh Utsav, but their excitement is short-lived when no one in the society is ready to donate the sufficient funds. At that time, an unlikely hero emerges. Who is the hero? Watch this episode to find out.",17 mins,27-Aug-08,Tapu Sena,"Anjali, Gogi, Goli, Komal, Madhavi, Pinku, Roshan, Sonu",Gokuldham Society,Sony SAB,2020-05-27 14:33:12+00:00,22422445,217398,3448,2008-08-27,2008,8,Wednesday,3,2020.0,5.0,14.0,Wednesday,Afternoon,17,Standard,266,49,40,8,1,8,9,False,True,False,False,False,False,0.009695552394239236,0.00015377448116052995,0.015860238547555416,5.878841229007754,High
24,Gokuldham Society is all set to celebrate Ganesh Chathurthi,"Gokuldham Society is all set to celebrate Ganesh Chathurthi with all its might, but someone is missing. Who is it? While Madhvi and Jethalal are exchanging laddus, Jethalal builds up a scheme. What is it about? Moreover, what has terrorism got to do with all this?",18 mins,27-Aug-08,Jethalal,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-27 05:31:44+00:00,15971313,122362,2252,2008-08-27,2008,8,Wednesday,3,2017.0,7.0,5.0,Thursday,Morning,18,Standard,264,46,59,9,1,4,5,True,False,False,False,False,False,0.007661360862356097,0.00014100280039575956,0.01840425618855373,4.653217637571962,Above_Avg
25,Wacky Society Is Thrown Into Another Strange Situation,"As the celebrations of Ganesh Utsav continue, Gokuldham society is thrown into another strange situation. There is a bomb scare in the society. How will the society members solve it?",18 mins,27-Aug-08,Tapu Sena,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2020-05-28 14:36:55+00:00,12066738,117007,1864,2008-08-27,2008,8,Wednesday,3,2020.0,5.0,14.0,Thursday,Afternoon,18,Standard,182,30,54,8,1,4,5,False,True,False,False,False,False,0.009696654580827514,0.00015447421212972287,0.015930534664296458,5.879782433348397,Above_Avg
26,The Feeling With Which One Celebrates The Festival,"The festivity is all about one's truth. The feeling with which one celebrates the festival. In this aura of festivity, will every member of Gokuldham society speak the truth? If yes, will this truth be good to hear? Find out in this episode.",18 mins,27-Aug-08,"Jethalal, Taarak, Daya, Popatlal, Bhide","Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-28 06:28:15+00:00,41738017,309381,5081,2008-08-27,2008,8,Wednesday,3,2017.0,7.0,6.0,Friday,Morning,18,Standard,241,43,50,8,5,4,9,True,False,True,True,True,False,0.007412450682253288,0.00012173553617232136,0.016423062750903415,4.496164623820902,High
27,Ganesh Ustsav continues with fun and laughter,Another day of the Ganesh Utsav continues with fun and laughter. Tapu and gang come up with another idea for an event and the whole society gets busy with it. What competition is it? Watch this episode to find out.,19 mins,27-Aug-08,Tapu,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-07-31 10:50:33+00:00,25594828,227624,4799,2008-08-27,2008,8,Wednesday,3,2017.0,7.0,10.0,Monday,Morning,19,Standard,214,40,45,7,1,4,5,False,True,False,False,False,False,0.008893358889016215,0.00018749881079494613,0.021082921471718835,5.411014857727708,High
28,A Hasya Kavi Sammelan Is Organised On The Ocassion Of Ganesh Chathurthi,"A Hasya Kavi Sammelan is organised on the occasion of Ganesh Chathurthi. Tarak Mehta has taken the responsibility to host the event. What humorous turn of events would take place, when Bhide recites his poem? How will Jethalal take revenge? Will it be the way he expected? Find out in this episode.",17 mins,27-Aug-08,"Jethalal, Taarak, Bhide",,Gokuldham Society,Sony SAB,2017-07-31 10:55:24+00:00,25465682,244651,5042,2008-08-27,2008,8,Wednesday,3,2017.0,7.0,10.0,Monday,Morning,17,Standard,298,52,71,12,3,0,3,True,False,False,True,True,False,0.009607085739659918,0.0001979919407620051,0.02060886483658421,5.843448220100752,High
29,"Jethalal, Daya and Baccha Party's unbelievable performance","The fun and celebrations of the Ganesh Utsav continue as the Hasya Kavita competition continues. Jethalal, Daya and the Baccha Party give great performances but who will win the surprise prize? Watch this episode of Taarak Mehta Ka Ooltah Chashma to find out.",17 mins,27-Aug-08,"Jethalal, Jetha, Daya",,Gokuldham Society,Sony SAB,2017-08-01 12:20:32+00:00,19102658,198532,5300,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,12.0,Tuesday,Afternoon,17,Standard,259,43,58,7,3,0,3,True,False,True,False,False,False,0.010392898705881731,0.0002774482861260309,0.026695813794180314,6.346718537979451,High
30,Daya Intervenes The Session,"Tarak Mehta, Jethalal and Bhide, are distressed by their wive's behaviour. What reasons do all of them have? What happens when they share their feelings? Watch this episode to find out.",20 mins,27-Aug-08,Daya,,Gokuldham Society,Sony SAB,2020-05-31 14:30:00+00:00,10732100,122750,2644,2008-08-27,2008,8,Wednesday,3,2020.0,5.0,14.0,Sunday,Afternoon,20,Standard,185,31,27,4,1,0,1,False,False,True,False,False,False,0.011437648602077077,0.00024636368964473963,0.021539539392754437,6.961134637104142,Above_Avg
31,Helpless Husbands Of Gokuldham Society,All men of society are upset with their respective wives. They are trying to find a way to cope with it when they meet Gobachari who runs a Patni Pidith Sang. Will the men get brainwashed by him? What new trouble will this bring to society? Find out in this episode.,20 mins,27-Aug-08,"Jethalal, Taarak, Bhide, Popatlal, Iyer, Hathi, Sodhi","Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2020-06-01 14:32:58+00:00,11974218,130792,2145,2008-08-27,2008,8,Wednesday,3,2020.0,6.0,14.0,Monday,Afternoon,20,Standard,266,51,38,5,7,5,12,True,False,False,True,True,False,0.010922800059026815,0.00017913485631087923,0.016399960242520623,6.62533397794044,Above_Avg
32,Gobhachari's Book On Marriage And Relationship,Husbands and wives will forever continue with their little fights and problems. But what happens when the husbands decide to solve these problems? What other problems emerge? Can one book be the solution to all their problems?,16 mins,27-Aug-08,"Jethalal, Taarak, Bhide, Popatlal, Iyer, Hathi, Sodhi",Gobhachari's,Gokuldham Society,Sony SAB,2017-08-02 12:11:25+00:00,22602880,163666,4327,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,12.0,Wednesday,Afternoon,16,Standard,226,37,46,6,7,1,8,True,False,False,True,True,False,0.007240935348020458,0.00019143577316537658,0.026437828028863485,4.421135518078425,High
33,Gobachari Inspires The Husbands At Gokuldham,Gobachari inspires the husbands at Gokuldham to create a list of demands from their wives. The list results in an all-out war between the husbands and wives with each party out to embarrass the other. What will be the consequences of the war be?  Will it be resolved?,19 mins,27-Aug-08,"Jethalal, Daya, Taarak, Anjali, Bhide, Madhavi, Popatlal, Iyer, Babita, Hathi, Komal, Sodhi, Roshan","Anjali, Gobachari, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-08-03 11:33:51+00:00,24093335,207072,4077,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,11.0,Thursday,Morning,19,Standard,267,48,44,6,13,5,18,True,False,True,True,True,False,0.008594575695121672,0.0001692169154159474,0.019688708812834122,5.224432183239381,High
34,Gokuldham Members Are Enraged At Jethalal And Warn Him,Bhide gets furious on Madhavi as she had invested in Sunder's scheme. Bhide and other friends make a plan to meet Jethalal and enquire about Sunder. They get enraged at him and warn him saying they can lodge a complaint against him in the police station. Jethalal shares his problem with his best friend Taarak Mehta and returns the money of the society members as he suggested.,18 mins,27-Aug-08,Jethalal,"Anjali, Inspector, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-08-03 11:26:50+00:00,21227106,179014,3598,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,11.0,Thursday,Morning,18,Standard,378,67,54,9,1,5,6,True,False,False,False,False,False,0.008433273549711696,0.00016950025267220822,0.020098874396000336,5.127764230895901,High
35,Jethalal Is Fed Up Of Tapu Watching Television All Day,Jethalal is worried about Tapu's obsession with the television. He has a plan to get rid of this. What is his plan?  How will he deal with such a nuisance? Find out in this episode only on Sony liv.,18 mins,27-Aug-08,"Jethalal, Tapu",,Gokuldham Society,Sony SAB,2017-08-04 13:22:10+00:00,32414529,165144,4074,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,13.0,Friday,Afternoon,18,Standard,198,39,54,10,2,0,2,True,True,False,False,False,False,0.005094752260791688,0.00012568437672858437,0.024669230070544067,3.1071251071664463,High
36,Television Is Becoming A Crazy Problem,Television is becoming a crazy problem amongst the children and it is the parents who get disturbed by it. What similar problem is Jethalal facing at home? How does he plan to approach it? Is Tapu going to sit back? What cable war will it start? Watch this episode to know about the fight between Tapu and Jethalal?,17 mins,27-Aug-08,"Jethalal, Tapu","Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2017-08-04 13:17:31+00:00,20845683,161881,2703,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,13.0,Friday,Afternoon,17,Standard,315,58,38,6,2,4,6,True,True,False,False,False,False,0.0077656842538724085,0.00012966712917647605,0.016697347450612174,4.7112774039940355,High
37,Jethalal's Plan To Cut Down On Tapu's Cable Watching,"In order to cut down on Tapu's cable watching, Jethalal gets the child lock activated on his television so that only the spiritual channel can be viewed by his son. How does Tapu manage to get his daily dose of cable? How does the entire neighbourhood react to this? Will Tapu outwit Jethalal?",19 mins,27-Aug-08,"Jethalal, Jetha, Tapu, ",,Gokuldham Society,Sony SAB,2017-08-05 13:30:52+00:00,19998138,161729,2608,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,13.0,Saturday,Afternoon,19,Standard,293,53,52,9,3,0,3,True,True,False,False,False,False,0.008087202514193946,0.00013041213484914771,0.016125641501267544,4.904486362456026,High
38,The Children Revolt Against The Child Lock,"The children revolt against the child lock control by deciding to give up their clothes, an effect of the overdose of watching spiritual channels on TV. This causes panic amongst the parents. Will the parents be able to convince the children to wear clothes? Will the child lock issue be resolved? Find out in this episode.",18 mins,27-Aug-08,"Tapu, Gogi, Goli, Jethalal, Daya, Bhide, Madhavi, Hathi, Komal, Sodhi, Roshan","Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2017-08-05 13:31:01+00:00,17789312,133629,3438,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,13.0,Saturday,Afternoon,18,Standard,323,56,42,7,11,4,15,True,True,True,False,True,False,0.007511757199392692,0.0001932621006780869,0.025727755743470776,4.58435915990685,Above_Avg
39,Daya Is Super Excited About The Garba Celebrations,The festival of Navratri is round the corner and everyone wants to play Garba. How will Daya take the responsibility to make the Garba a success? Is Jethalal happy with his wife's excitement? How does Tapu Sena prepare for Garba? Find out in this episode.,20 mins,27-Aug-08,Daya,"Gogi, Goli, Pinku, Sonu",Gokuldham Society,Sony SAB,2017-08-07 12:14:13+00:00,29922732,210503,3874,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,12.0,Monday,Afternoon,20,Standard,255,45,50,8,1,4,5,False,False,True,False,False,False,0.0070348854832210685,0.00012946678366578348,0.018403450765781173,4.272718003398955,High
40,Daya Wants To Go To Ahmedabad And Celebrate Navratri,"While everyone is excited about the celebrations of Navratri, Jethalal is not. Daya wants to celebrate Navratri in Ahmedabad. What were Jethalal's plans for Navratri that will not be met now? How does he still try to make them work? How will Tapu try to stop him? Find out in this fun-filled episode of Taarak Mehta Ka Ooltah Chashma.",18 mins,27-Aug-08,Daya,,Gokuldham Society,Sony SAB,2017-08-07 12:17:56+00:00,19416960,147816,3163,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,12.0,Monday,Afternoon,18,Standard,334,59,52,9,1,0,1,False,False,True,False,False,False,0.007612725801941921,0.00016289881820332234,0.02139808005845065,4.6327950084464815,High
41,Gadas To Celebrate Navratri In Ahemdabad,The Gada's have decided to celebrate Navratri with Daya's family in Ahemdabad. Tapu is sad about missing out on the Navratri excitement at Gokuldham Society. Will he formulate a plan to wriggle out of going to Ahemdabad? Find out in this episode.,19 mins,27-Aug-08,Gada family,"Anjali, Komal, Madhavi, Roshan",Gokuldham Society,Sony SAB,2017-08-08 11:46:51+00:00,22330872,185437,3374,2008-08-27,2008,8,Wednesday,3,2017.0,8.0,11.0,Tuesday,Morning,19,Standard,246,42,40,6,1,4,5,False,False,False,False,False,False,0.0083040640641322,0.0001510912717115896,0.018194760512947723,5.042874947163955,High
