episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
11,Mobile Phones Could Be Called  Best Friends,"If technology is a boon or a bane, the answer is yet to be decided. Champaklal gets a new phone for his day to day communication but he gets very much involved with it. Meanwhile, Bhide mocks Jethalal while he is on the way to his shop. Will Champaklal land himself into some trouble because of the new mobile phone?",19 mins,11-Aug-08,"Jethalal, Champaklal, Bhide",,,Sony SAB,2017-07-21T21:43:38Z,24772413,182666,3744
12,Mr Bhide Is Concerned By Sonu's Friendship,"Bhide is concerned because of Sonu's friendship with Tapu and decides to use the occasion of Rakshabandhan to put this matter to rest, once and for all. However, Bhide's plan has got Jethalal worried. Why is he worried? Find out in this episode.",18 mins,12-Aug-08,"Bhide, Sonu",,,Sony SAB,2020-05-22T18:47:59Z,15292933,150265,3354
13,Gokuldham Society Celebrates Rakshabandhan,"Gokuldham Society is all set to welcome the festival of Rakshabandhan with a bang. While Daya is busy with preparations, Jethalal is dreading being tied a rakhi by Babita. The event is exclusively being covered by Rita Reporter from Kal Tak. Watch this hilarious episode to know about Jethalal's pain.",18 mins,13-Aug-08,"Jethalal, Daya, Babita, Rita",,Gokuldham Society,Sony SAB,2017-07-22T21:19:26Z,40730245,283671,6127
14,Jethalal Gets Kidnapped From Work,"Jethalal gets kidnapped from his shop. When he doesn't return home for a long time, Nathu Kaka goes to Jethalal's house to tell Daya that Jethalal left his phone and tiffin at the shop. When Taarak goes to Daya to comfort her, they get a call from the kidnappers. What will they do now? How will they save Jethalal?",19 mins,14-Aug-08,Jethalal,,,Sony SAB,2017-07-22T21:24:00Z,13023835,97957,1894
15,Champaklal Informs His Son's Abducters,"Jethalal has been abducted by a bunch of thugs who seek ransom in lieu of releasing him. However, Champaklal informs his son's abductors that he does not have money to pay as ransom. What awaits Jethalal's fate now? Will they kill him if the ransom is not paid?",19 mins,15-Aug-08,Champaklal,,,Sony SAB,2017-07-24T00:17:48Z,37506692,290574,4951
16,The Men Want To Celebrate The Festival Of Janamashtmi,The members of Gokuldham especially the men want to celebrate the festival of Janamashtmi. What is the plan that Jethalal has up his sleeve? Who is he scared of? How do the other male folk plan to implement Jetha's plan? Will everything go according to the plan?,19 mins,18-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-07-24T00:17:52Z,27936507,219531,4831
17,Champaklal And Tapu Successfully Foil Jethalal And His Friends,"Champaklal and Tapu successfully foil Jethalal and his friend's plans to gamble with money. On the eve of Janmashthami, the men of Gokuldham Society challenge the women to break the sacred earthen pot. Will the women successfully complete this challenge? Find out in this episode of Taarak Mehta Ka Ooltah Chashma.",20 mins,19-Aug-08,"Jethalal, Tapu, Champaklal",,Gokuldham Society,Sony SAB,2017-07-24T13:46:53Z,44239579,307699,5362
18,Tapu Lands In Trouble In School,"Tapu lands in trouble in school and the Principal summons Jethalal to his office to discuss his son's frivolous ways. Scared of notifying his father about the same, Tapu convinces Champaklal to meet the Principal as his father. However, Tapu's plan goes horribly wrong when Jethalal and Champaklal both turn up in the Principal's office. What will be Tapu's fate?",19 mins,20-Aug-08,Tapu,,,Sony SAB,2017-07-24T13:54:26Z,22354099,166798,3345
19,Jethalal Approaches Chingur Baba For Help,"Fed-up of his father and son's shenanigans, Jethalal approaches Chingur Baba for help. The Baba provides him with a remedy and a hopeful Jethalal returns home to do as instructed. However, the next morning it is Jethalal who is a changed man and not his father and son. How did this happen?",19 mins,21-Aug-08,Jethalal,Chingur Baba,,Sony SAB,2020-05-25T14:31:00Z,18975034,180361,3267
20,Humour is very good for the health,It is indeed said that humour is very good for health. But what if it becomes dangerous? Jethalal's behaviour becomes very humorous and all the society members are making fun of him. How do people take advantage of his situation? Will Tarak Mehta be able to solve it?,19 mins,22-Aug-08,"Jethalal, Mehta",,Gokuldham Society,Sony SAB,2017-07-25T14:29:37Z,40496567,285584,5380
21,Ganesh Utsav In The Society,"Females of the Gokuldham Society plan to keep a fast for their husbands but when Jethalal is thrown in an unlikely situation, he wants to return the favour by making all the men keep the fast instead. Will he succeed?",19 mins,25-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-07-26T14:38:04Z,17520211,145161,4005
22,Gokuldham is trying to celebrate Ganesh Utsav,Gokuldham is celebrating Ganesh Chaturthi and is trying to make the festival as pure as possible. What do Champak Chacha and the Tapu Sena have in mind? What is Jethalal and Taarak's plan? What will happen when their wives find out?,20 mins,26-Aug-08,"Jethalal, Mehta, Tapu",,Gokuldham Society,Sony SAB,2017-07-26T14:39:50Z,18069179,159965,3082
23,The Kids Of The Society Are Very Excited,"The kids of the society are very excited at the occasion of Ganesh Utsav, but their excitement is short-lived when no one in the society is ready to donate the sufficient funds. At that time, an unlikely hero emerges. Who is the hero? Watch this episode to find out.",17 mins,27-Aug-08,Tapu Sena,,Gokuldham Society,Sony SAB,2020-05-27T14:33:12Z,22422445,217398,3448
24,Gokuldham Society is all set to celebrate Ganesh Chathurthi,"Gokuldham Society is all set to celebrate Ganesh Chathurthi with all its might, but someone is missing. Who is it? While Madhvi and Jethalal are exchanging laddus, Jethalal builds up a scheme. What is it about? Moreover, what has terrorism got to do with all this?",18 mins,27-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-07-27T05:31:44Z,15971313,122362,2252
25,Wacky Society Is Thrown Into Another Strange Situation,"As the celebrations of Ganesh Utsav continue, Gokuldham society is thrown into another strange situation. There is a bomb scare in the society. How will the society members solve it?",18 mins,27-Aug-08,Tapu Sena,,Gokuldham Society,Sony SAB,2020-05-28T14:36:55Z,12066738,117007,1864
26,The Feeling With Which One Celebrates The Festival,"The festivity is all about one's truth. The feeling with which one celebrates the festival. In this aura of festivity, will every member of Gokuldham society speak the truth? If yes, will this truth be good to hear? Find out in this episode.",18 mins,27-Aug-08,"Jethalal, Taarak, Daya, Popatlal, Bhide",,Gokuldham Society,Sony SAB,2017-07-28T06:28:15Z,41738017,309381,5081
27,Ganesh Ustsav continues with fun and laughter,Another day of the Ganesh Utsav continues with fun and laughter. Tapu and gang come up with another idea for an event and the whole society gets busy with it. What competition is it? Watch this episode to find out.,19 mins,27-Aug-08,Tapu,,Gokuldham Society,Sony SAB,2017-07-31T10:50:33Z,25594828,227624,4799
28,A Hasya Kavi Sammelan Is Organised On The Ocassion Of Ganesh Chathurthi,"A Hasya Kavi Sammelan is organised on the occasion of Ganesh Chathurthi. Tarak Mehta has taken the responsibility to host the event. What humorous turn of events would take place, when Bhide recites his poem? How will Jethalal take revenge? Will it be the way he expected? Find out in this episode.",17 mins,27-Aug-08,"Jethalal, Taarak, Bhide",,,Sony SAB,2017-07-31T10:55:24Z,25465682,244651,5042
29,"Jethalal, Daya and Baccha Party's unbelievable performance","The fun and celebrations of the Ganesh Utsav continue as the Hasya Kavita competition continues. Jethalal, Daya and the Baccha Party give great performances but who will win the surprise prize? Watch this episode of Taarak Mehta Ka Ooltah Chashma to find out.",17 mins,27-Aug-08,"Jethalal, Jetha, Daya",,,Sony SAB,2017-08-01T12:20:32Z,19102658,198532,5300
30,Daya Intervenes The Session,"Tarak Mehta, Jethalal and Bhide, are distressed by their wive's behaviour. What reasons do all of them have? What happens when they share their feelings? Watch this episode to find out.",20 mins,27-Aug-08,Daya,,,Sony SAB,2020-05-31T14:30:00Z,10732100,122750,2644
31,Helpless Husbands Of Gokuldham Society,All men of society are upset with their respective wives. They are trying to find a way to cope with it when they meet Gobachari who runs a Patni Pidith Sang. Will the men get brainwashed by him? What new trouble will this bring to society? Find out in this episode.,20 mins,27-Aug-08,"Jethalal, Taarak, Bhide, Popatlal, Iyer, Hathi, Sodhi",,Gokuldham Society,Sony SAB,2020-06-01T14:32:58Z,11974218,130792,2145
32,Gobhachari's Book On Marriage And Relationship,Husbands and wives will forever continue with their little fights and problems. But what happens when the husbands decide to solve these problems? What other problems emerge? Can one book be the solution to all their problems?,16 mins,27-Aug-08,"Jethalal, Taarak, Bhide, Popatlal, Iyer, Hathi, Sodhi",Gobhachari's,,Sony SAB,2017-08-02T12:11:25Z,22602880,163666,4327
33,Gobachari Inspires The Husbands At Gokuldham,Gobachari inspires the husbands at Gokuldham to create a list of demands from their wives. The list results in an all-out war between the husbands and wives with each party out to embarrass the other. What will be the consequences of the war be?  Will it be resolved?,19 mins,27-Aug-08,"Jethalal, Daya, Taarak, Anjali, Bhide, Madhavi, Popatlal, Iyer, Babita, Hathi, Komal, Sodhi, Roshan",Gobachari,Gokuldham Society,Sony SAB,2017-08-03T11:33:51Z,24093335,207072,4077
34,Gokuldham Members Are Enraged At Jethalal And Warn Him,Bhide gets furious on Madhavi as she had invested in Sunder's scheme. Bhide and other friends make a plan to meet Jethalal and enquire about Sunder. They get enraged at him and warn him saying they can lodge a complaint against him in the police station. Jethalal shares his problem with his best friend Taarak Mehta and returns the money of the society members as he suggested.,18 mins,27-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-08-03T11:26:50Z,21227106,179014,3598
35,Jethalal Is Fed Up Of Tapu Watching Television All Day,Jethalal is worried about Tapu's obsession with the television. He has a plan to get rid of this. What is his plan?  How will he deal with such a nuisance? Find out in this episode only on Sony liv.,18 mins,27-Aug-08,"Jethalal, Tapu",,,Sony SAB,2017-08-04T13:22:10Z,32414529,165144,4074
36,Television Is Becoming A Crazy Problem,Television is becoming a crazy problem amongst the children and it is the parents who get disturbed by it. What similar problem is Jethalal facing at home? How does he plan to approach it? Is Tapu going to sit back? What cable war will it start? Watch this episode to know about the fight between Tapu and Jethalal?,17 mins,27-Aug-08,"Jethalal, Tapu",,,Sony SAB,2017-08-04T13:17:31Z,20845683,161881,2703
37,Jethalal's Plan To Cut Down On Tapu's Cable Watching,"In order to cut down on Tapu's cable watching, Jethalal gets the child lock activated on his television so that only the spiritual channel can be viewed by his son. How does Tapu manage to get his daily dose of cable? How does the entire neighbourhood react to this? Will Tapu outwit Jethalal?",19 mins,27-Aug-08,"Jethalal, Jetha, Tapu, ",,,Sony SAB,2017-08-05T13:30:52Z,19998138,161729,2608
38,The Children Revolt Against The Child Lock,"The children revolt against the child lock control by deciding to give up their clothes, an effect of the overdose of watching spiritual channels on TV. This causes panic amongst the parents. Will the parents be able to convince the children to wear clothes? Will the child lock issue be resolved? Find out in this episode.",18 mins,27-Aug-08,"Tapu, Gogi, Goli, Jethalal, Daya, Bhide, Madhavi, Hathi, Komal, Sodhi, Roshan",,,Sony SAB,2017-08-05T13:31:01Z,17789312,133629,3438
39,Daya Is Super Excited About The Garba Celebrations,The festival of Navratri is round the corner and everyone wants to play Garba. How will Daya take the responsibility to make the Garba a success? Is Jethalal happy with his wife's excitement? How does Tapu Sena prepare for Garba? Find out in this episode.,20 mins,27-Aug-08,Daya,,,Sony SAB,2017-08-07T12:14:13Z,29922732,210503,3874
40,Daya Wants To Go To Ahmedabad And Celebrate Navratri,"While everyone is excited about the celebrations of Navratri, Jethalal is not. Daya wants to celebrate Navratri in Ahmedabad. What were Jethalal's plans for Navratri that will not be met now? How does he still try to make them work? How will Tapu try to stop him? Find out in this fun-filled episode of Taarak Mehta Ka Ooltah Chashma.",18 mins,27-Aug-08,Daya,,,Sony SAB,2017-08-07T12:17:56Z,19416960,147816,3163
41,Gadas To Celebrate Navratri In Ahemdabad,The Gada's have decided to celebrate Navratri with Daya's family in Ahemdabad. Tapu is sad about missing out on the Navratri excitement at Gokuldham Society. Will he formulate a plan to wriggle out of going to Ahemdabad? Find out in this episode.,19 mins,27-Aug-08,Gada family,,Gokuldham Society,Sony SAB,2017-08-08T11:46:51Z,22330872,185437,3374
42,Jethalal Excited About Learning Disco Dandiya,"A man arrives at Jethalals shop to get some change. Jethalal arrives at his shop and mistakes him for a customer and gives him a free pair of dandiya sticks. He grins to find out that there are four passes for a dandiya party for him. On the other hand, Daya has called over her friends to help her decide what attire and jewellery to wear for the next nine days of Navratri. Meanwhile, Jethalal is excited to go for the dandiya party along with Babita.",20 mins,27-Aug-08,Jethalal,,,Sony SAB,2017-08-08T11:57:48Z,19735407,160141,3090
43,"A Goon Threatens Bhide, Sodhi And Jethalal","Everyone is horrified to find out that the goons have a gun. Tappu, who is standing at the balcony, comes up with a plan and throws a dandiya stick at the goon's hand.  After the problem has been averted, all continue their celebration and play Garba. Further, Anjali expresses her suspicion on Mohan's announcement of the expensive prize of a trip to Singapore for the winner of the Garba competition. Who will win it?",19 mins,27-Aug-08,"Jethalal, Bhide, Sodhi",,,Sony SAB,2020-06-03T14:37:36Z,11774411,111309,1436
44,Taarak Begins The Disco Dandiya Competition,"Taarak begins the competition and asks the Hathi couple to come and perform their act. Following them is Sodhi's and then the Iyers. After the Iyers performance, Bhides perform followed by the Mehtas and Gada's. Finally, Jethalal's father comes on to the stage and performs. Tappu joins his grandfather in his riveting dance performance. Watch this fun-filled episode to know more.",20 mins,27-Aug-08,Taarak,,,Sony SAB,2017-08-09T12:35:15Z,14020078,108737,2315
45,Taarak Talks To The Audience About The Human Organ Trafficking,"Anjali finds Taarak coughing and asks him to go to a doctor and get himself checked. When Taarak refuses to go, she suggests him to go and visit Dr Hathi. Taarak then talks about human organ trafficking that is taking place in some hospitals. Will Taarak recover?",19 mins,27-Aug-08,Taarak,,,Sony SAB,2017-08-10T10:59:07Z,22256727,178431,3149
46,Shaikh  Offers A Warning To Jethalal,Jethalal is walking home and thinking about Sheikh's offer and also thinks where he'll get the kidney from. Jethalal discusses this with his friend Taarak Mehta. What will Taarak suggest him?,19 mins,27-Aug-08,Jethalal,Shaikh,,Sony SAB,2020-06-04T14:40:40Z,9888439,107111,2222
47,Jethalal In Search Of A Kidney Donor,A worried Jethalal prays to God and asks him to find a kidney donor for him. Jethalal spots  Sodhi in the garden talking to someone on the phone and discussing some money issue. He approaches him and informs him about the extravagant amount of money that he will receive in return of one of his kidney. Will Sodhi take the offer?,20 mins,27-Aug-08,Jethalal,,,Sony SAB,2017-08-11T12:14:43Z,11406358,105043,2665
48,An Enraged Jethalal Threatens Bhide,An annoyed Jethalal reaches the colony compound and calls out to Bhide. He threatens him to take revenge on him for his mischief. Taarak comes and drags Jethalal along with him to his home and tries to convince him of doing the right thing but in vain. Jethalal wakes up to a nightmare when Daya comes to his aid. Daya urges Jethalal to visit Dr Hathi and get a medicine for his headache.,19 mins,27-Aug-08,"Jethalal, Bhide",,,Sony SAB,2017-08-11T12:25:27Z,16744726,132521,2647
49,Jethalal And Shaikh Are Waiting For Badri Nath's Final Answer,"Daya finds her father in law pacing in the room awaiting someone. On enquiring, her father in law reveals that he has called Badri Nath. When Badri Nath arrives, Champak lectures him against selling his kidney for money and promises to get him the money required for his daughter's operation. On the other hand, Jethalal is with Shaikh having a gala time and awaiting Badri Nath unaware of the turn of events. What will happen next?",20 mins,27-Aug-08,Jethalal,Shaikh,,Sony SAB,2017-08-14T14:26:20Z,18573831,174694,3889
50,Daya Instructs Jethalal To Clean The House On Diwali,"Anjali is cleaning the house for Diwali and asks Taarak to get rid of some of the books from the house. Taarak explains to her the importance of books. On the other hand, Tappu and his friends along with Abdul are decorating the colony for Diwali and discussing their plan of firecrackers when one of their friends brings the previous years crackers. Jethalal is horrified by the crackers and he scolds the children. What will Jethalal do?",20 mins,27-Aug-08,"Jethalal, Daya",,,Sony SAB,2017-08-14T14:28:07Z,21317719,160963,3235
51,Bhide Outsmarts Jethalal,"Bhide outsmarts Jethalal and clicks his photograph in his servant state. An enraged Jethalal runs after Bhide. Taarak approaches Jethalal and enquires the problem but is left in splits to know the story. Champak finds Jethalal and drags him back home. Further, the ladies get together and shop for Diwali. At the shop, Nattu informs Jethalal about a scheme he thought for Diwali. What scheme has he come up with?",19 mins,28-Aug-17,"Jethalal, Bhide",,,Sony SAB,2017-08-15T09:04:17Z,26381553,190830,5465
52,Jethalal Confronts Daya About Buying Bomb For Tappu,"Daya and the other ladies of the colony decide to go shopping for Diwali. Jethalal returns home and confronts Daya about buying a bomb for Tapu. He then reveals to her the events that occurred at the shop in the afternoon, when his father walks in and scolds him. On the other hand, Bhide is worried as Diwali is approaching and none of his students has paid the fees. How will Bhide celebrate his Diwali?",19 mins,28-Aug-08,"Jethalal, Daya, Tappu",,,Sony SAB,2017-08-15T09:04:32Z,28448607,242142,3889
53,Jethalal's Irksome Behavior,"Bhide is scared and holds Jethalal responsible for his condition. Champaklal gets tired with Jethalal's irksome behaviour. Jethalal asks Daya for the money, which he had given before, but gets upset with her behaviour. He is surprised to see Bhide's changed behaviour. Natu Kaka asks Champaklal why Jethalal has not reached his shop. Bhide is tensed while a woman reaches his house and places a big order for pickle to Madhavi.",19 mins,28-Aug-08,Jethalal,,,Sony SAB,2017-08-16T09:59:49Z,29119385,287740,5934
54,Taarak Mehta Feels Lonely On Diwali,Taarak Mehta feels lonely as Anjali is not with him on the occasion of Diwali. Jethalal is facing stinginess and is unable to fulfil his family's requirements. Bhide and other friends are upset about inflation. They decide to do a Laxmi Poojan and ask Jethalal to contribute. Will Jethalal be ready to contribute? Find out in this episode.,19 mins,28-Aug-08,Mehta,,,Sony SAB,2017-08-16T10:00:00Z,28615083,243442,5411
55,Champaklal Celebrates The New-Year With The Children,Champaklal celebrates the occasion of new-year with the children. Jethalal gets tired of Daya's behaviour. Bhide tries to tease him while he goes to repair Daya's sandals. Jethalal gets upset when Daya informs him that Sunder is coming. Will Sunder bring in any more trouble in Jethalal's life?,19 mins,28-Aug-08,Champaklal,,,Sony SAB,2017-08-17T13:53:41Z,32430666,234153,5371
56,The Gada Family Is Going Out Of Their Limits To Welcome Daya's Brother,Daya's brother Sunder is coming to Gokuldham Society and the Gada family is ready to receive him. Jethalal is not at all happy with this. Sunder has not turned up yet and Jethalal gets a call from Natu Kaka to come to the shop. Will Sunder come? What new troubles is he going to bring in Jethalal's life?,20 mins,28-Aug-08,Daya,,Gokuldham Society,Sony SAB,2020-06-06T14:30:05Z,24127642,206706,4648
57,Sunders New Scheme,Panic ensues as Sunder's bag is missing and the blame comes on Jethalal's head. Sunder calls his mother in Ahmedabad who tells him that his bag is in Ahmedabad and is not lost. Natu Kaka books a flight ticket for Jethalal as Daya tells him to get Sunder's bag from Ahmedabad. A lot of money has been spent on Sunder and Jethalal is not comfortable with this. What will happen next? Find out in this episode.,19 mins,28-Aug-08,Sunder,,,Sony SAB,2017-08-18T14:19:30Z,23275670,168094,3749
58,Jethalal Is Apprehensive About Sunder's Scheme,Jethalal is apprehensive about Sunder's scheme and warns him that he shouldn't involve Gokuldham society members in his plan. Sunder meets the society members and tells them about his scheme. Then he meets the women and shares his scheme with them. He does his best to fool them off their money. Daya also lauds her brother before them and takes guarantee of their money. Will the scheme work?,18 mins,28-Aug-08,"Jethalal, Sunder",,Gokuldham Society,Sony SAB,2017-08-18T14:04:14Z,15147468,115610,2632
59,Jethalal Is Suspicious About Sunder,The women of Gokuldam try to arrange the money through all means possible. Daya tries to make Taarak Mehta understand as to how her husband's best friend will not earn money. Bhide tries to tease his friends as they have allowed their wives to invest in Sunder's scheme. The women invest in this scheme as Sunder had promised them a high return. Jethalal also has to invest in the scheme because of Babita but is suspicious about Sunder.,19 mins,28-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-08-22T00:08:04Z,15953581,124959,2199
60,Jethalal Worries About Sunder Committing Some Fraud,"Babita is excited about her investment and asks Jethalal for Sunder. Jethalal worries about Sunder committing some fraud with the society member's money. Komal and other friends meet Daya, but she is worried about Sunder being kidnapped. Taarak Mehta is also pensive regarding Sunder. All the women are upset about Sunder and worried about their investment money. Jethalal tries to make Babita understand. Where is Sunder?",19 mins,28-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-08-22T00:08:39Z,23448318,185184,3243
61,Gokuldham Members Are Enraged At Jethalal,"Bhide gets furious on Madhavi as she had invested in Sunder's scheme. Bhide and other friends make a plan to meet Jethalal and enquire about Sunder. They get enraged at him and warn him saying they can lodge a complaint against him in the police station. Jethalal shares his problem with his best friend Taarak Mehta and returns the money of the society members as he suggested. Meanwhile, Sunder reaches society.",14 mins,28-Aug-08,Jethalal,,Gokuldham Society,Sony SAB,2017-08-22T15:32:17Z,34679353,259948,4610
62,Sunder Gives Them A Surprising News,"Daya and other Gokuldham society members get surprised when Sunder turns up. Jethalal gets enraged at him. Meanwhile, Sunder gives them surprising news. Bhide and Iyer meet Jethalal as they want to invest their money again. Daya and other friends discuss the television serial deeply. But, something goes wrong while they are watching the serial. What goes wrong? Find out in this episode.",19 mins,28-Aug-08,"Jethalal, Daya, Iyer, Bhide",,Gokuldham Society,Sony SAB,2017-08-22T15:41:59Z,29070447,247608,4620
63,Tapu's Strike Against His School Authority,"Daya is angry as repeated episodes are being telecast on the television. Madhavi is also upset about this as there is a strike after a dispute between the union members and the producers. Daya and her friends decide to conduct a havan to solve this problem as Daya is slightly superstitious. As the havan completes, Rita reporter informs them that the strike has been called off. Meanwhile, Tapu makes a plan to solve his problem. What is his problem?",19 mins,28-Aug-08,Tapu,,,Sony SAB,2017-08-23T09:45:00Z,17049633,140329,3515
64,The Principal Summons The Parents,"Bhide and Sodhi want to meet the principal, but Jethalal is scared of Bhide coming to know about the leader. Rita tries to telecast this news on live TV, but Jethalal doesn't allow her to do so. Meanwhile, Bhide and Sodhi reach there. The principal gets tensed after seeing the struggling behaviour of Jethalal and Bhide. What will happen to Tapu?",19 mins,28-Aug-08,"Jethalal, Tapu, Bhide, Sodhi",,,Sony SAB,2017-08-23T09:45:25Z,22236244,184732,4584
65,Tapu And His Army Are Not Ready To End The Strike,"Komal gets enraged at Goli and asks to end the strike, but she is shocked at his behaviour. Bhide takes Tapu's frustration out on Sonu. Jethalal wants to share the problem with his best friend, Taarak Mehta. Champaklal goes to school with them. He tries to explain to Tapu and the other children about the unfair nature of their demands. Will Tapu listen to Champaklal?",18 mins,28-Aug-08,Tapu,,,Sony SAB,2017-08-25T05:56:58Z,14757632,136266,3238
66,Daya Plans To Celebrate Her 25th Wedding Anniversary,"Jethalal has to go to a social convention, but he wants to rest at home. She gets suspicious as Jethalal pretexts with her saying he wants to enjoy the Sunday with his friends. Tapu's friends reach at home while Jethalal is resting. He tries to scare them away. Meanwhile, Babita reaches there and Jethalal gets scared of someone catching them together alone in the house. Will someone catch them?",18 mins,28-Aug-08,Daya,,,Sony SAB,2017-08-25T06:00:33Z,14801358,126680,2572
67,Jethalal Is Disturbed By The Presence Of Two Ladies,"Jethalal is alone at home and he is encountered by the presence of various women, one of them is Sweety. Will Jethalal be a true husband? Who is Sweety? Find out in this episode of Taarak Mehta Ka Ooltah Chashma.",18 mins,28-Aug-08,Jethalal,,,Sony SAB,2017-08-25T06:07:11Z,55743715,317077,8514
68,Sweety Threatens To Commit Suicide,"Jethalal tries to explain something to Champaklal and Daya as they believe he is having an affair with Sweety. Sweety threatens to commit suicide. Jethalal asks Nattu Kaka to prove his innocence, but something goes wrong. Bhide and Sodhi reach Jethalal's home as Bhide is suspicious about the whole situation. Champaklal and Daya get shocked when Sweety gives them the proof of their affair. What proof does she have?",18 mins,28-Aug-08,"Jethalal, Daya, Champaklal, Bhide, Sodhi, Nattu",Sweety,,Sony SAB,2017-08-25T06:14:06Z,28269353,195124,4737
69,Tapu Finds Proof,Tapu finds proof of his father's affair with Sweety. Jethalal tries to explain to Daya and Champaklal that he is innocent. Tapu makes a plan to find out the truth. Will Tapu succeed in his plan? Will Jethalal be proved innocent?,18 mins,28-Aug-08,Tapu,,,Sony SAB,2017-08-28T07:11:10Z,26600428,217290,5005
