episode_no,episode_title,description,episode_runtime,released_on,lead_cast_matches,supporting_cast_matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count,runtime_minutes,is_successful,desc_length,desc_word_count,desc_sentence_count,avg_word_length,has_conflict,has_main_char,has_emotion,has_society,has_mystery,has_family,question_count,has_question,exclamation_count,total_cast,has_lead_cast,has_supporting_cast,cast_ratio,release_year,release_month,release_day,release_day_of_week,release_quarter,is_weekend,estimated_season,is_pilot,is_early_episode,is_milestone,cast_x_runtime,desc_length_x_questions,like_rate,comment_rate,engagement_rate
11,Mobile Phones Could Be Called  Best Friends,"If technology is a boon or a bane, the answer is yet to be decided. Champaklal gets a new phone for his day to day communication but he gets very much involved with it. Meanwhile, Bhide mocks Jethalal while he is on the way to his shop. Will Champaklal land himself into some trouble because of the new mobile phone?",19 mins,2008-08-11,0.0,0.0,,Sony SAB,,24772413.0,182666.0,3744.0,19.0,1,316,60,5,5.180327868852459,1,1,0,0,0,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,11.0,0.0,3.0,0,1,0,1,0,0.0,316,0.007373766642201281,0.00015113585619875398,0.007524902498400035
12,Mr Bhide Is Concerned By Sonu's Friendship,"Bhide is concerned because of Sonu's friendship with Tapu and decides to use the occasion of Rakshabandhan to put this matter to rest, once and for all. However, Bhide's plan has got Jethalal worried. Why is he worried? Find out in this episode.",18 mins,2008-08-12,0.0,0.0,,Sony SAB,,15292933.0,150265.0,3354.0,18.0,0,245,43,5,5.568181818181818,0,1,0,0,1,1,1,1,0,0.0,0,0,0.0,2008.0,8.0,12.0,1.0,3.0,0,1,0,1,0,0.0,245,0.00982577967053281,0.00021931697344669112,0.0100450966439795
13,Gokuldham Society Celebrates Rakshabandhan,"Gokuldham Society is all set to welcome the festival of Rakshabandhan with a bang. While Daya is busy with preparations, Jethalal is dreading being tied a rakhi by Babita. The event is exclusively being covered by Rita Reporter from Kal Tak. Watch this hilarious episode to know about Jethalal's pain.",18 mins,2008-08-13,0.0,0.0,Gokuldham Society,Sony SAB,,40730245.0,283671.0,6127.0,18.0,1,301,50,5,5.901960784313726,0,1,0,1,0,0,0,0,0,0.0,0,0,0.0,2008.0,8.0,13.0,2.0,3.0,0,1,0,1,0,0.0,0,0.006964627711799236,0.00015042875017253762,0.007115056461971774
14,Jethalal Gets Kidnapped From Work,"Jethalal gets kidnapped from his shop. When he doesn't return home for a long time, Nathu Kaka goes to Jethalal's house to tell Daya that Jethalal left his phone and tiffin at the shop. When Taarak goes to Daya to comfort her, they get a call from the kidnappers. What will they do now? How will they save Jethalal?",19 mins,2008-08-14,0.0,0.0,,Sony SAB,,13023835.0,97957.0,1894.0,19.0,0,315,59,6,5.25,0,1,0,0,1,0,2,1,0,0.0,0,0,0.0,2008.0,8.0,14.0,3.0,3.0,0,1,0,1,0,0.0,630,0.007521363137557936,0.00014542566414380524,0.007666788801701741
15,Champaklal Informs His Son's Abducters,"Jethalal has been abducted by a bunch of thugs who seek ransom in lieu of releasing him. However, Champaklal informs his son's abductors that he does not have money to pay as ransom. What awaits Jethalal's fate now? Will they kill him if the ransom is not paid?",19 mins,2008-08-15,0.0,0.0,,Sony SAB,,37506692.0,290574.0,4951.0,19.0,1,261,48,5,5.326530612244898,0,1,0,0,0,1,2,1,0,0.0,0,0,0.0,2008.0,8.0,15.0,4.0,3.0,0,1,0,1,0,0.0,522,0.007747257269522536,0.00013200310675217354,0.007879260376274708
16,The Men Want To Celebrate The Festival Of Janamashtmi,The members of Gokuldham especially the men want to celebrate the festival of Janamashtmi. What is the plan that Jethalal has up his sleeve? Who is he scared of? How do the other male folk plan to implement Jetha's plan? Will everything go according to the plan?,19 mins,2008-08-18,0.0,0.0,Gokuldham Society,Sony SAB,,27936507.0,219531.0,4831.0,19.0,1,262,47,6,5.458333333333333,0,1,1,1,0,0,4,1,0,0.0,0,0,0.0,2008.0,8.0,18.0,0.0,3.0,0,1,0,1,0,0.0,1048,0.007858211913958609,0.0001729278405160731,0.008031139754474682
17,Champaklal And Tapu Successfully Foil Jethalal And His Friends,"Champaklal and Tapu successfully foil Jethalal and his friend's plans to gamble with money. On the eve of Janmashthami, the men of Gokuldham Society challenge the women to break the sacred earthen pot. Will the women successfully complete this challenge? Find out in this episode of Taarak Mehta Ka Ooltah Chashma.",20 mins,2008-08-19,0.0,0.0,Gokuldham Society,Sony SAB,,44239579.0,307699.0,5362.0,20.0,1,314,51,5,6.038461538461538,0,1,0,1,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,19.0,1.0,3.0,0,1,0,1,0,0.0,314,0.006955287550198261,0.00012120368231343969,0.007076491232511701
18,Tapu Lands In Trouble In School,"Tapu lands in trouble in school and the Principal summons Jethalal to his office to discuss his son's frivolous ways. Scared of notifying his father about the same, Tapu convinces Champaklal to meet the Principal as his father. However, Tapu's plan goes horribly wrong when Jethalal and Champaklal both turn up in the Principal's office. What will be Tapu's fate?",19 mins,2008-08-20,0.0,0.0,,Sony SAB,,22354099.0,166798.0,3345.0,19.0,1,363,60,5,5.950819672131147,1,1,1,0,1,1,1,1,0,0.0,0,0,0.0,2008.0,8.0,20.0,2.0,3.0,0,1,0,1,0,0.0,363,0.007461628962919554,0.00014963697934607074,0.007611265942265625
19,Jethalal Approaches Chingur Baba For Help,"Fed-up of his father and son's shenanigans, Jethalal approaches Chingur Baba for help. The Baba provides him with a remedy and a hopeful Jethalal returns home to do as instructed. However, the next morning it is Jethalal who is a changed man and not his father and son. How did this happen?",19 mins,2008-08-21,0.0,0.0,,Sony SAB,,18975034.0,180361.0,3267.0,19.0,1,290,52,5,5.471698113207547,0,1,0,0,0,1,1,1,0,0.0,0,0,0.0,2008.0,8.0,21.0,3.0,3.0,0,1,0,1,0,0.0,290,0.009505173508243859,0.0001721735954637238,0.009677347103707582
20,Humour is very good for the health,It is indeed said that humour is very good for health. But what if it becomes dangerous? Jethalal's behaviour becomes very humorous and all the society members are making fun of him. How do people take advantage of his situation? Will Tarak Mehta be able to solve it?,19 mins,2008-08-22,0.0,0.0,Gokuldham Society,Sony SAB,,40496567.0,285584.0,5380.0,19.0,1,267,48,6,5.448979591836735,0,1,0,1,0,0,3,1,0,0.0,0,0,0.0,2008.0,8.0,22.0,4.0,3.0,0,1,0,1,0,0.0,801,0.007052054386435907,0.00013285076404499264,0.0071849051504809
21,Ganesh Utsav In The Society,"Females of the Gokuldham Society plan to keep a fast for their husbands but when Jethalal is thrown in an unlikely situation, he wants to return the favour by making all the men keep the fast instead. Will he succeed?",19 mins,2008-08-25,0.0,0.0,Gokuldham Society,Sony SAB,,17520211.0,145161.0,4005.0,19.0,1,217,40,3,5.2926829268292686,0,1,0,1,1,1,1,1,0,0.0,0,0,0.0,2008.0,8.0,25.0,0.0,3.0,0,1,0,1,0,0.0,217,0.008285344949022307,0.0002285931243297741,0.00851393807335208
22,Gokuldham is trying to celebrate Ganesh Utsav,Gokuldham is celebrating Ganesh Chaturthi and is trying to make the festival as pure as possible. What do Champak Chacha and the Tapu Sena have in mind? What is Jethalal and Taarak's plan? What will happen when their wives find out?,20 mins,2008-08-26,0.0,0.0,Gokuldham Society,Sony SAB,,18069179.0,159965.0,3082.0,20.0,1,232,41,5,5.523809523809524,0,1,0,1,1,0,3,1,0,0.0,0,0,0.0,2008.0,8.0,26.0,1.0,3.0,0,1,0,1,0,0.0,696,0.008852919722975807,0.00017056667762455185,0.00902348640060036
23,The Kids Of The Society Are Very Excited,"The kids of the society are very excited at the occasion of Ganesh Utsav, but their excitement is short-lived when no one in the society is ready to donate the sufficient funds. At that time, an unlikely hero emerges. Who is the hero? Watch this episode to find out.",17 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,22422445.0,217398.0,3448.0,17.0,1,266,49,5,5.32,0,0,1,1,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,266,0.009695552394239236,0.00015377448116052995,0.009849326875399767
24,Gokuldham Society is all set to celebrate Ganesh Chathurthi,"Gokuldham Society is all set to celebrate Ganesh Chathurthi with all its might, but someone is missing. Who is it? While Madhvi and Jethalal are exchanging laddus, Jethalal builds up a scheme. What is it about? Moreover, what has terrorism got to do with all this?",18 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,15971313.0,122362.0,2252.0,18.0,1,264,46,6,5.617021276595745,0,1,0,1,0,0,3,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,792,0.007661360862356097,0.00014100280039575956,0.0078023636627518565
25,Wacky Society Is Thrown Into Another Strange Situation,"As the celebrations of Ganesh Utsav continue, Gokuldham society is thrown into another strange situation. There is a bomb scare in the society. How will the society members solve it?",18 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,12066738.0,117007.0,1864.0,18.0,0,182,30,4,5.870967741935484,0,0,0,1,0,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,182,0.009696654580827514,0.00015447421212972287,0.009851128792957235
26,The Feeling With Which One Celebrates The Festival,"The festivity is all about one's truth. The feeling with which one celebrates the festival. In this aura of festivity, will every member of Gokuldham society speak the truth? If yes, will this truth be good to hear? Find out in this episode.",18 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,41738017.0,309381.0,5081.0,18.0,1,241,43,6,5.4772727272727275,0,0,0,1,1,0,2,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,482,0.007412450682253288,0.00012173553617232136,0.007534186218425609
27,Ganesh Ustsav continues with fun and laughter,Another day of the Ganesh Utsav continues with fun and laughter. Tapu and gang come up with another idea for an event and the whole society gets busy with it. What competition is it? Watch this episode to find out.,19 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,25594828.0,227624.0,4799.0,19.0,1,214,40,5,5.219512195121951,0,1,0,1,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,214,0.008893358889016215,0.00018749881079494613,0.009080857699811162
28,A Hasya Kavi Sammelan Is Organised On The Ocassion Of Ganesh Chathurthi,"A Hasya Kavi Sammelan is organised on the occasion of Ganesh Chathurthi. Tarak Mehta has taken the responsibility to host the event. What humorous turn of events would take place, when Bhide recites his poem? How will Jethalal take revenge? Will it be the way he expected? Find out in this episode.",17 mins,2008-08-27,0.0,0.0,,Sony SAB,,25465682.0,244651.0,5042.0,17.0,1,298,52,7,5.622641509433962,0,1,0,0,1,0,3,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,894,0.009607085739659918,0.0001979919407620051,0.009805077680421923
29,"Jethalal, Daya and Baccha Party's unbelievable performance","The fun and celebrations of the Ganesh Utsav continue as the Hasya Kavita competition continues. Jethalal, Daya and the Baccha Party give great performances but who will win the surprise prize? Watch this episode of Taarak Mehta Ka Ooltah Chashma to find out.",17 mins,2008-08-27,0.0,0.0,,Sony SAB,,19102658.0,198532.0,5300.0,17.0,1,259,43,4,5.886363636363637,0,1,0,0,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,259,0.010392898705881731,0.0002774482861260309,0.010670346992007761
30,Daya Intervenes The Session,"Tarak Mehta, Jethalal and Bhide, are distressed by their wive's behaviour. What reasons do all of them have? What happens when they share their feelings? Watch this episode to find out.",20 mins,2008-08-27,0.0,0.0,,Sony SAB,,10732100.0,122750.0,2644.0,20.0,0,185,31,5,5.78125,0,1,0,0,1,1,2,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,370,0.011437648602077077,0.00024636368964473963,0.011684012291721817
31,Helpless Husbands Of Gokuldham Society,All men of society are upset with their respective wives. They are trying to find a way to cope with it when they meet Gobachari who runs a Patni Pidith Sang. Will the men get brainwashed by him? What new trouble will this bring to society? Find out in this episode.,20 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,11974218.0,130792.0,2145.0,20.0,0,266,51,6,5.115384615384615,1,0,0,1,1,0,2,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,532,0.010922800059026815,0.00017913485631087923,0.011101934915337694
32,Gobhachari's Book On Marriage And Relationship,Husbands and wives will forever continue with their little fights and problems. But what happens when the husbands decide to solve these problems? What other problems emerge? Can one book be the solution to all their problems?,16 mins,2008-08-27,0.0,0.0,,Sony SAB,,22602880.0,163666.0,4327.0,16.0,1,226,37,5,5.947368421052632,1,0,0,0,0,1,3,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,678,0.007240935348020458,0.00019143577316537658,0.007432371121185835
33,Gobachari Inspires The Husbands At Gokuldham,Gobachari inspires the husbands at Gokuldham to create a list of demands from their wives. The list results in an all-out war between the husbands and wives with each party out to embarrass the other. What will be the consequences of the war be?  Will it be resolved?,19 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,24093335.0,207072.0,4077.0,19.0,1,267,48,5,5.448979591836735,0,0,0,1,1,1,2,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,534,0.008594575695121672,0.0001692169154159474,0.00876379261053762
34,Gokuldham Members Are Enraged At Jethalal And Warn Him,Bhide gets furious on Madhavi as she had invested in Sunder's scheme. Bhide and other friends make a plan to meet Jethalal and enquire about Sunder. They get enraged at him and warn him saying they can lodge a complaint against him in the police station. Jethalal shares his problem with his best friend Taarak Mehta and returns the money of the society members as he suggested.,18 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,21227106.0,179014.0,3598.0,18.0,1,378,67,5,5.5588235294117645,1,1,0,1,0,0,0,0,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,0,0.008433273549711696,0.00016950025267220822,0.008602773802383905
35,Jethalal Is Fed Up Of Tapu Watching Television All Day,Jethalal is worried about Tapu's obsession with the television. He has a plan to get rid of this. What is his plan?  How will he deal with such a nuisance? Find out in this episode only on Sony liv.,18 mins,2008-08-27,0.0,0.0,,Sony SAB,,32414529.0,165144.0,4074.0,18.0,1,198,39,6,4.95,0,1,0,0,1,1,2,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,396,0.005094752260791688,0.00012568437672858437,0.005220436637520273
36,Television Is Becoming A Crazy Problem,Television is becoming a crazy problem amongst the children and it is the parents who get disturbed by it. What similar problem is Jethalal facing at home? How does he plan to approach it? Is Tapu going to sit back? What cable war will it start? Watch this episode to know about the fight between Tapu and Jethalal?,17 mins,2008-08-27,0.0,0.0,,Sony SAB,,20845683.0,161881.0,2703.0,17.0,1,315,58,7,5.338983050847458,1,1,0,0,0,0,5,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,1575,0.0077656842538724085,0.00012966712917647605,0.007895351383048884
37,Jethalal's Plan To Cut Down On Tapu's Cable Watching,"In order to cut down on Tapu's cable watching, Jethalal gets the child lock activated on his television so that only the spiritual channel can be viewed by his son. How does Tapu manage to get his daily dose of cable? How does the entire neighbourhood react to this? Will Tapu outwit Jethalal?",19 mins,2008-08-27,0.0,0.0,,Sony SAB,,19998138.0,161729.0,2608.0,19.0,1,293,53,5,5.425925925925926,0,1,0,0,0,1,3,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,879,0.008087202514193946,0.00013041213484914771,0.008217614649043093
38,The Children Revolt Against The Child Lock,"The children revolt against the child lock control by deciding to give up their clothes, an effect of the overdose of watching spiritual channels on TV. This causes panic amongst the parents. Will the parents be able to convince the children to wear clothes? Will the child lock issue be resolved? Find out in this episode.",18 mins,2008-08-27,0.0,0.0,,Sony SAB,,17789312.0,133629.0,3438.0,18.0,1,323,56,6,5.666666666666667,0,0,0,0,1,0,2,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,646,0.007511757199392692,0.0001932621006780869,0.007705019300070779
39,Daya Is Super Excited About The Garba Celebrations,The festival of Navratri is round the corner and everyone wants to play Garba. How will Daya take the responsibility to make the Garba a success? Is Jethalal happy with his wife's excitement? How does Tapu Sena prepare for Garba? Find out in this episode.,20 mins,2008-08-27,0.0,0.0,,Sony SAB,,29922732.0,210503.0,3874.0,20.0,1,255,45,6,5.543478260869565,0,1,1,0,1,1,3,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,765,0.0070348854832210685,0.00012946678366578348,0.007164352266886852
40,Daya Wants To Go To Ahmedabad And Celebrate Navratri,"While everyone is excited about the celebrations of Navratri, Jethalal is not. Daya wants to celebrate Navratri in Ahmedabad. What were Jethalal's plans for Navratri that will not be met now? How does he still try to make them work? How will Tapu try to stop him? Find out in this fun-filled episode of Taarak Mehta Ka Ooltah Chashma.",18 mins,2008-08-27,0.0,0.0,,Sony SAB,,19416960.0,147816.0,3163.0,18.0,1,334,59,7,5.566666666666666,0,1,1,0,1,0,3,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,1002,0.007612725801941921,0.00016289881820332234,0.007775624620145243
41,Gadas To Celebrate Navratri In Ahemdabad,The Gada's have decided to celebrate Navratri with Daya's family in Ahemdabad. Tapu is sad about missing out on the Navratri excitement at Gokuldham Society. Will he formulate a plan to wriggle out of going to Ahemdabad? Find out in this episode.,19 mins,2008-08-27,0.0,0.0,Gokuldham Society,Sony SAB,,22330872.0,185437.0,3374.0,19.0,1,246,42,5,5.72093023255814,0,1,1,1,1,1,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,246,0.0083040640641322,0.0001510912717115896,0.00845515533584379
42,Jethalal Excited About Learning Disco Dandiya,"A man arrives at Jethalals shop to get some change. Jethalal arrives at his shop and mistakes him for a customer and gives him a free pair of dandiya sticks. He grins to find out that there are four passes for a dandiya party for him. On the other hand, Daya has called over her friends to help her decide what attire and jewellery to wear for the next nine days of Navratri. Meanwhile, Jethalal is excited to go for the dandiya party along with Babita.",20 mins,2008-08-27,0.0,0.0,,Sony SAB,,19735407.0,160141.0,3090.0,20.0,1,453,86,6,5.206896551724138,0,1,1,0,1,0,0,0,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,0,0.00811440026980947,0.00015657137668499175,0.008270971646494462
43,"A Goon Threatens Bhide, Sodhi And Jethalal","Everyone is horrified to find out that the goons have a gun. Tappu, who is standing at the balcony, comes up with a plan and throws a dandiya stick at the goon's hand.  After the problem has been averted, all continue their celebration and play Garba. Further, Anjali expresses her suspicion on Mohan's announcement of the expensive prize of a trip to Singapore for the winner of the Garba competition. Who will win it?",19 mins,2008-08-27,0.0,0.0,,Sony SAB,,11774411.0,111309.0,1436.0,19.0,0,419,74,6,5.586666666666667,1,0,0,0,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,419,0.009453465701726761,0.00012195938107142846,0.00957542508279819
44,Taarak Begins The Disco Dandiya Competition,"Taarak begins the competition and asks the Hathi couple to come and perform their act. Following them is Sodhi's and then the Iyers. After the Iyers performance, Bhides perform followed by the Mehtas and Gada's. Finally, Jethalal's father comes on to the stage and performs. Tappu joins his grandfather in his riveting dance performance. Watch this fun-filled episode to know more.",20 mins,2008-08-27,0.0,0.0,,Sony SAB,,14020078.0,108737.0,2315.0,20.0,0,381,61,7,6.145161290322581,0,1,0,0,0,1,0,0,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,0,0.00775580508497848,0.00016512032492826896,0.007920925409906748
45,Taarak Talks To The Audience About The Human Organ Trafficking,"Anjali finds Taarak coughing and asks him to go to a doctor and get himself checked. When Taarak refuses to go, she suggests him to go and visit Dr Hathi. Taarak then talks about human organ trafficking that is taking place in some hospitals. Will Taarak recover?",19 mins,2008-08-27,0.0,0.0,,Sony SAB,,22256727.0,178431.0,3149.0,19.0,1,263,47,5,5.479166666666667,0,0,0,0,0,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,263,0.008016946605988087,0.0001414853072742768,0.008158431913262362
46,Shaikh  Offers A Warning To Jethalal,Jethalal is walking home and thinking about Sheikh's offer and also thinks where he'll get the kidney from. Jethalal discusses this with his friend Taarak Mehta. What will Taarak suggest him?,19 mins,2008-08-27,0.0,0.0,,Sony SAB,,9888439.0,107111.0,2222.0,19.0,0,191,31,4,5.96875,0,1,0,0,1,0,1,1,0,0.0,0,0,0.0,2008.0,8.0,27.0,2.0,3.0,0,1,0,1,0,0.0,191,0.010831941135305468,0.00022470682938865988,0.011056647964694128
